,date,weekday,day_x,hour,time,month,rides,holiday,datetime,year,is_holiday,is_weekend
118,2019-01-06,Sunday,6,21,21:00:00,1,199,no festivo,2019-01-06 21:00:00,2019,0,1
119,2019-01-06,Sunday,6,22,22:00:00,1,199,no festivo,2019-01-06 22:00:00,2019,0,1
120,2019-01-06,Sunday,6,23,23:00:00,1,202,no festivo,2019-01-06 23:00:00,2019,0,1
121,2019-01-08,Tuesday,8,0,00:00:00,1,64,no festivo,2019-01-08 00:00:00,2019,0,0
122,2019-01-08,Tuesday,8,1,01:00:00,1,38,no festivo,2019-01-08 01:00:00,2019,0,0
123,2019-01-08,Tuesday,8,2,02:00:00,1,21,no festivo,2019-01-08 02:00:00,2019,0,0
124,2019-01-08,Tuesday,8,3,03:00:00,1,25,no festivo,2019-01-08 03:00:00,2019,0,0
125,2019-01-08,Tuesday,8,4,04:00:00,1,28,no festivo,2019-01-08 04:00:00,2019,0,0
126,2019-01-08,Tuesday,8,5,05:00:00,1,71,no festivo,2019-01-08 05:00:00,2019,0,0
127,2019-01-08,Tuesday,8,6,06:00:00,1,298,no festivo,2019-01-08 06:00:00,2019,0,0
128,2019-01-08,Tuesday,8,7,07:00:00,1,724,no festivo,2019-01-08 07:00:00,2019,0,0
129,2019-01-08,Tuesday,8,8,08:00:00,1,679,no festivo,2019-01-08 08:00:00,2019,0,0
130,2019-01-08,Tuesday,8,9,09:00:00,1,301,no festivo,2019-01-08 09:00:00,2019,0,0
131,2019-01-08,Tuesday,8,10,10:00:00,1,277,no festivo,2019-01-08 10:00:00,2019,0,0
132,2019-01-08,Tuesday,8,11,11:00:00,1,293,no festivo,2019-01-08 11:00:00,2019,0,0
133,2019-01-08,Tuesday,8,12,12:00:00,1,509,no festivo,2019-01-08 12:00:00,2019,0,0
134,2019-01-08,Tuesday,8,13,13:00:00,1,707,no festivo,2019-01-08 13:00:00,2019,0,0
135,2019-01-08,Tuesday,8,14,14:00:00,1,711,no festivo,2019-01-08 14:00:00,2019,0,0
136,2019-01-08,Tuesday,8,15,15:00:00,1,594,no festivo,2019-01-08 15:00:00,2019,0,0
137,2019-01-08,Tuesday,8,16,16:00:00,1,661,no festivo,2019-01-08 16:00:00,2019,0,0
138,2019-01-08,Tuesday,8,17,17:00:00,1,864,no festivo,2019-01-08 17:00:00,2019,0,0
139,2019-01-08,Tuesday,8,18,18:00:00,1,815,no festivo,2019-01-08 18:00:00,2019,0,0
140,2019-01-08,Tuesday,8,19,19:00:00,1,633,no festivo,2019-01-08 19:00:00,2019,0,0
141,2019-01-08,Tuesday,8,20,20:00:00,1,471,no festivo,2019-01-08 20:00:00,2019,0,0
142,2019-01-08,Tuesday,8,21,21:00:00,1,268,no festivo,2019-01-08 21:00:00,2019,0,0
143,2019-01-08,Tuesday,8,22,22:00:00,1,208,no festivo,2019-01-08 22:00:00,2019,0,0
