,id,address,name,total_bases,longitude,latitude,postal_code
23,27,Calle Carlos III nº 1,Palacio de Oriente,24,-3.710692,40.417908,28001
24,28,Plaza de Celenque nº 1,Plaza de Celenque A,24,-3.7057791,40.4173703,28013
25,29,Plaza de Celenque nº 1,Plaza de Celenque B,24,-3.7063837,40.4172781,28013
26,30,Plaza de las Salesas 7,Plaza de las Salesas,24,-3.694475,40.423855,28004
27,31,Calle Jesús nº 1,Huertas,24,-3.6956178,40.4132798,28014
28,32,Calle Alcalá nº 27,Sevilla,24,-3.6984368,40.4181518,28014
29,33,Calle del Marqués de Cubas nº 25,Marqués de Cubas,24,-3.6957355,40.4162619,28014
30,34,Calle Pavía nº 6,San Quintín,27,-3.7115040,40.4192095,28001
31,35,Calle Mayor nº 20,Calle Mayor,27,-3.7068969,40.4163638,28013
32,36,Plaza de la Provincia nº 1,Plaza de la Provincia,18,-3.7061032,40.4150099,28001
33,37,Calle Carretas nº 8,Carretas,21,-3.7030833,40.4165039,28012
34,38,Plaza de Jacinto Benavente,Jacinto Benavente,24,-3.7036825,40.4146755,28001
35,39,Plaza del Cordón,Plaza del Cordón,24,-3.7103285,40.4141931,28005
36,40,Plaza de Ramales,Plaza Ramales,24,-3.71183,40.4168,28013
37,41,Plaza de San Francisco nº 5,Plaza de San Francisco,24,-3.7144964,40.4108442,28005
38,42,Carrera de San Francisco nº 1,Plaza de los Carros,24,-3.7114762,40.4114041,28005
39,43,Plaza de la Cebada nº 16 ,Plaza de la Cebada,27,-3.7088337,40.4112744,28005
40,44,Plaza del Conde de Romanones nº 9,Conde de Romanones,24,-3.7049407,40.4138846,28012
41,45,Calle Atocha nº 54,Antón Martín,18,-3.6991147,40.4122047,28001
42,46,Calle Atocha nº 95,Santa Isabel,24,-3.6982318,40.4107085,28012
43,47,Calle Lavapiés nº 34,Jesús y María,24,-3.7025024,40.4101564,28012
44,48,Calle Mesón de Paredes nº 35,Plaza de Nelson Mandela,21,-3.7040666,40.4097617,28012
45,49,Glorieta de la Puerta de Toledo nº 1,Puerta de Toledo,21,-3.7110513,40.4070358,28005
46,50,Calle Ribera de Curtidores nº 28,Ribera de Curtidores,24,-3.7071259,40.4053153,28005
47,51,Glorieta de Embajadores nº 6,Embajadores 1,24,-3.7028265,40.4047851,28012
